iter	Passed	Remaining
0	1	118
1	2	115
2	3	105
3	4	97
4	5	95
5	5	92
6	6	90
7	7	89
8	8	87
9	9	86
10	10	84
11	11	82
12	12	81
13	13	80
14	14	79
15	14	78
16	15	77
17	16	76
18	17	74
19	18	73
20	19	72
21	20	71
22	20	70
23	21	69
24	22	68
25	23	67
26	24	66
27	25	65
28	26	64
29	27	63
30	28	62
31	29	61
32	29	60
33	30	59
34	31	58
35	32	58
36	33	57
37	34	56
38	35	55
39	36	54
40	36	53
41	37	51
42	38	50
43	39	49
44	40	48
45	40	48
46	41	47
47	42	46
48	43	45
49	44	44
50	45	43
51	46	42
52	47	41
53	48	41
54	48	39
55	49	39
56	50	38
57	51	37
58	52	36
59	53	35
60	53	34
61	54	33
62	55	32
63	56	31
64	57	31
65	58	30
66	59	29
67	60	28
68	61	27
69	62	26
70	62	25
71	63	24
72	64	23
73	65	23
74	66	22
75	67	21
76	68	20
77	69	19
78	69	18
79	70	17
80	71	16
81	72	15
82	73	15
83	74	14
84	75	13
85	76	12
86	76	11
87	77	10
88	78	9
89	79	8
90	80	7
91	81	7
92	82	6
93	83	5
94	84	4
95	85	3
96	85	2
97	86	1
98	87	0
99	88	0
